ID	official_symbol	differentially_expressed	kinase_function	phosphorylation_site
at3g44610	AT3G44610	no	no	no
at3g44620	AT3G44620	no	no	no
at3g45290	MLO3	no	no	no
at3g45430	AT3G45430	no	yes	no
at3g45620	AT3G45620	no	no	yes
at3g45640	MPK3	no	yes	no
at3g45780	PHOT1	no	yes	yes
at3g45970	EXLA1	no	no	no
at3g46030	HTB11	no	no	no
at3g46580	MBD5	no	no	yes
at3g46810	AT3G46810	no	no	no
at3g47160	AT3G47160	no	no	no
at3g47430	PEX11B	no	no	yes
at3g47540	AT3G47540	no	no	no
at3g47690	EB1A	no	no	no
at3g48170	ALDH10A9	no	no	yes
at3g48690	CXE12	no	no	no
at3g48750	CDC2	no	yes	yes
at3g48890	MAPR3	no	no	yes
at3g48990	AT3G48990	no	no	yes
at3g49160	AT3G49160	no	yes	yes
at3g49260	iqd21	no	no	yes
at3g49620	DIN11	no	no	no
at3g49700	ACS9	no	no	no
at3g49750	RLP44	no	no	no
at3g49810	AT3G49810	no	no	yes
at3g49870	ARLA1C	no	no	no
at3g50000	CKA2	no	yes	no
at3g50060	MYB77	no	no	no
at3g50410	OBP1	no	no	no
at3g50480	HR4	no	no	no
at3g50500	SNRK2.2	no	yes	yes
at3g50560	AT3G50560	no	no	no
at3g50740	UGT72E1	no	no	yes
at3g50750	BEH1	no	no	no
at3g50890	HB28	no	no	no
at3g50960	PLP3a	no	no	no
at3g51000	AT3G51000	no	no	no
at3g51240	F3H	no	no	no
at3g51280	AT3G51280	no	no	no
at3g51300	ROP1	no	no	no
at3g51430	YLS2	no	no	no
at3g51450	AT3G51450	no	no	no
at3g51840	ACX4	no	no	yes
at3g51860	CAX3	no	no	no
at3g51920	CAM9	no	no	no
at3g52340	SPP2	no	no	yes
at3g52400	SYP122	no	no	yes
at3g52500	AT3G52500	no	no	no
at3g53180	AT3G53180	no	no	yes
at3g53260	PAL2	no	no	no
at3g53350	RIP4	no	no	no
at3g53420	PIP2A	no	no	yes
at3g53730	AT3G53730	no	no	no
at3g53810	AT3G53810	no	yes	no
at3g53990	AT3G53990	no	no	no
at3g54010	PAS1	no	no	no
at3g54150	AT3G54150	no	no	no
at3g54560	HTA11	no	no	no
at3g54620	BZIP25	no	no	yes
at3g54640	TSA1	no	no	yes
at3g54820	PIP2;5	no	no	yes
at3g54900	CXIP1	no	no	no
at3g54990	SMZ	no	no	no
at3g55110	AT3G55110	no	no	no
at3g55120	TT5	no	no	no
at3g55130	WBC19	no	no	no
at3g55270	MKP1	no	no	yes
at3g55290	AT3G55290	no	no	no
at3g55370	OBP3	no	no	no
at3g55560	AGF2	no	no	yes
at3g55660	ROPGEF6	no	no	no
at3g56100	MRLK	no	yes	no
at3g56240	CCH	no	no	no
at3g56370	AT3G56370	no	yes	yes
at3g56710	SIB1	no	no	no
at3g57870	SCE1	no	no	no
at3g58040	SINAT2	no	no	no
at3g58450	AT3G58450	no	no	no
at3g59350	AT3G59350	no	yes	yes
at3g59420	CR4	no	yes	no
at3g59670	AT3G59670	no	no	no
at3g59900	ARGOS	no	no	no
at3g59940	AT3G59940	no	no	no
at3g60220	ATL4	no	no	no
at3g60300	AT3G60300	no	no	no
at3g60470	AT3G60470	no	no	yes
at3g60900	FLA10	no	no	no
at3g61150	HDG1	no	no	yes
at3g61250	MYB17	no	no	no
at3g61260	AT3G61260	no	no	yes
at3g61460	BRH1	no	no	no
at3g61650	TUBG1	no	no	no
at3g61920	AT3G61920	no	no	no
at3g61930	AT3G61930	no	no	no
at3g62030	ROC4	no	no	no
at3g62420	BZIP53	no	no	no
at3g63080	GPX5	no	no	no
at3g63200	PLP9	no	no	yes
at3g63210	MARD1	no	no	no
at3g63500	AT3G63500	no	no	yes
at4g00020	BRCA2(IV)	no	no	yes
at4g00150	HAM3	no	no	no
at4g00180	YAB3	no	no	no
at4g00330	CRCK2	no	yes	yes
at4g00400	GPAT8	no	no	yes
at4g00480	ATMYC1	no	no	no
at4g00720	SK32	no	yes	yes
at4g01100	ADNT1	no	no	yes
at4g01250	WRKY22	no	no	no
at4g01370	MPK4	no	yes	yes
at4g01575	AT4G01575	no	no	no
at4g01610	AT4G01610	no	no	yes
at4g02070	MSH6	no	no	no
at4g02130	GATL6	no	no	no
at4g02200	AT4G02200	no	no	yes
at4g02380	SAG21	no	no	no
at4g02410	AT4G02410	no	yes	no
at4g02800	AT4G02800	no	no	yes
at4g02860	AT4G02860	no	no	yes
at4g03070	AOP1	no	no	no
at4g03210	XTH9	no	no	yes
at4g03270	CYCD6;1	no	yes	no
at4g03290	AT4G03290	no	no	no
at4g04200	AT4G04200	no	no	no
at4g04450	WRKY42	no	no	yes
at4g04720	CPK21	no	yes	yes
at4g04750	AT4G04750	no	no	no
at4g04890	PDF2	no	no	yes
at4g05190	ATK5	no	no	yes
at4g08040	ACS11	no	no	no
at4g08470	MEKK3	no	yes	no
at4g08480	MAPKKK9	no	yes	no
at4g08500	MEKK1	no	yes	yes
at4g08770	AT4G08770	no	no	no
at4g08850	AT4G08850	no	yes	yes
at4g08950	EXO	no	no	no
at4g09460	MYB6	no	no	no
at4g09570	CPK4	no	yes	no
at4g10400	AT4G10400	no	no	no
at4g11370	RHA1A	no	no	no
at4g11470	CRK31	no	no	yes
at4g11570	AT4G11570	no	no	no
at4g11830	PLDGAMMA2	no	no	no
at4g11850	PLDGAMMA1	no	no	yes
at4g11860	AT4G11860	no	no	yes
at4g11890	AT4G11890	no	yes	no
at4g11990	AT4G11990	no	no	yes
at4g12020	WRKY19	no	no	yes
at4g12120	SEC1B	no	no	yes
at4g12730	FLA2	no	no	no
at4g13100	AT4G13100	no	no	yes
at4g13180	AT4G13180	no	no	no
at4g13510	AMT1;1	no	no	yes
at4g14220	RHF1A	no	no	yes
at4g14360	AT4G14360	no	no	no
at4g14365	XBAT34	no	no	yes
at4g14430	IBR10	no	no	no
at4g14440	HCD1	no	no	yes
at4g14550	IAA14	no	no	no
at4g14690	ELIP2	no	no	no
at4g14830	AT4G14830	no	no	no
at4g15490	UGT84A3	no	no	no
at4g15550	IAGLU	no	no	no
at4g15620	AT4G15620	no	no	no
at4g16110	RR2	no	no	yes
at4g16140	AT4G16140	no	no	no
at4g16250	PHYD	no	no	yes
at4g16330	AT4G16330	no	no	yes
at4g16515	RGF6	no	no	no
at4g17500	ERF-1	no	no	no
at4g17710	HDG4	no	no	no
at4g17720	AT4G17720	no	no	yes
at4g17870	PYR1	no	no	no
at4g18130	PHYE	no	yes	no
at4g18170	WRKY28	no	no	no
at4g18290	KAT2	no	no	yes
at4g18360	AT4G18360	no	no	no
at4g18630	AT4G18630	no	no	no
at4g18710	BIN2	no	yes	yes
at4g18880	HSF A4A	no	no	yes
at4g18960	AG	no	no	no
at4g19003	VPS25	no	no	no
at4g19380	AT4G19380	no	no	no
at4g19660	NPR4	no	no	no
at4g19840	PP2-A1	no	no	no
at4g19880	AT4G19880	no	no	yes
at4g20260	PCAP1	no	no	yes
at4g20390	AT4G20390	no	no	no
at4g20780	CML42	no	no	yes
at4g20830	AT4G20830	no	no	no
at4g20860	AT4G20860	no	no	no
at4g21070	BRCA1	no	no	yes
at4g21120	AAT1	no	no	no
at4g21270	ATK1	no	no	no
at4g21390	B120	no	yes	no
at4g21510	AT4G21510	no	no	no
at4g21560	VPS28-1	no	no	no
at4g21590	ENDO3	no	no	no
at4g21650	AT4G21650	no	no	no
at4g22200	KT2/3	no	no	no
at4g22570	APT3	no	no	no
at4g22860	AT4G22860	no	no	yes
at4g22880	LDOX	no	no	yes
at4g23050	AT4G23050	no	yes	no
at4g23060	IQD22	no	no	no
at4g23150	CRK7	no	yes	no
at4g23180	CRK10	no	yes	yes
at4g23190	CRK11	no	yes	no
at4g23220	CRK14	no	yes	yes
at4g23270	CRK19	no	yes	yes
at4g23400	PIP1;5	no	no	no
at4g23460	AT4G23460	no	no	no
at4g23550	WRKY29	no	no	no
at4g23570	SGT1A	no	no	yes
at4g23810	WRKY53	no	no	yes
at4g23885	AT4G23885	no	no	no
at4g24400	CIPK8	no	yes	yes
at4g24540	AGL24	no	no	no
at4g24550	AT4G24550	no	no	yes
at4g24670	TAR2	no	no	yes
at4g24900	AT4G24900	no	no	no
at4g24990	ATGP4	no	no	no
at4g25240	SKS1	no	no	no
at4g25660	AT4G25660	no	no	no
at4g25810	XTR6	no	no	no
at4g26070	MEK1	no	yes	yes
at4g26080	ABI1	no	no	yes
at4g26090	RPS2	no	no	no
at4g26270	PFK3	no	yes	no
at4g26610	D6PKL1	no	yes	yes
at4g26790	AT4G26790	no	no	no
at4g26910	AT4G26910	no	no	no
at4g27230	HTA2	no	no	no
at4g27280	AT4G27280	no	no	yes
at4g27330	SPL	no	no	no
at4g27410	RD26	no	no	no
at4g27450	AT4G27450	no	no	yes
at4g27500	PPI1	no	no	yes
at4g27595	AT4G27595	no	no	no
at4g27780	ACBP2	no	no	yes
at4g27800	TAP38	no	no	no
at4g28310	AT4G28310	no	no	yes
at4g28390	AAC3	no	no	no
at4g28400	AT4G28400	no	no	yes
at4g29080	PAP2	no	no	no
at4g29170	ATMND1	no	no	yes
at4g29220	PFK1	no	yes	yes
at4g29240	AT4G29240	no	no	no
at4g29350	PFN2	no	no	no
at4g29810	MKK2	no	yes	yes
at4g29820	CFIM-25	no	no	no
at4g29900	ACA10	no	no	yes
at4g30080	ARF16	no	no	no
at4g30230	AT4G30230	no	no	yes
at4g30260	AT4G30260	no	no	no
at4g30450	AT4G30450	no	no	no
at4g30480	AT4G30480	no	no	yes
at4g30530	AT4G30530	no	no	no
at4g30960	SIP3	no	yes	yes
at4g31500	CYP83B1	no	no	no
at4g31590	CSLC5	no	no	yes
at4g31700	RPS6	no	no	yes
at4g31800	WRKY18	no	no	yes
at4g31840	ENODL15	no	no	yes
at4g31950	CYP82C3	no	no	no
at4g31970	CYP82C2	no	no	no
at4g32000	AT4G32000	no	yes	no
at4g32410	CESA1	no	no	yes
at4g32650	KAT3	no	no	no
at4g32730	PC-MYB1	no	no	yes
at4g32770	VTE1	no	no	yes
at4g32830	AUR1	no	yes	yes
at4g33050	EDA39	no	no	yes
at4g33220	PME44	no	no	no
at4g33260	CDC20.2	no	no	no
at4g33400	AT4G33400	no	no	yes
at4g33540	AT4G33540	no	no	no
at4g33780	AT4G33780	no	no	no
at4g34160	CYCD3;1	no	no	no
at4g34180	AT4G34180	no	no	no
at4g34200	EDA9	no	no	no
at4g34220	AT4G34220	no	yes	yes
at4g34230	CAD5	no	no	no
at4g34590	GBF6	no	no	no
at4g34680	GATA3	no	no	no
at4g34710	ADC2	no	no	yes
at4g34990	MYB32	no	no	no
at4g35090	CAT2	no	no	no
at4g35110	AT4G35110	no	no	yes
at4g35310	CPK5	no	yes	yes
at4g35390	AGF1	no	no	yes
at4g35620	CYCB2;2	no	no	no
at4g36030	ARO3	no	no	yes
at4g36220	FAH1	no	no	no
at4g36250	ALDH3F1	no	no	yes
at4g36540	BEE2	no	no	no
at4g36870	BLH2	no	no	yes
at4g36930	SPT	no	no	no
at4g36990	HSF4	no	no	yes
at4g37110	AT4G37110	no	no	no
at4g37170	AT4G37170	no	no	no
at4g37240	AT4G37240	no	no	no
at4g37370	CYP81D8	no	no	no
at4g37450	AGP18	no	no	no
at4g37460	SRFR1	no	no	yes
at4g37490	CYCB1;1	no	no	no
at4g37640	ACA2	no	no	no
at4g37650	SHR	no	no	no
at4g37770	ACS8	no	no	no
at4g37870	PCK1	no	no	yes
at4g38060	AT4G38060	no	no	no
at4g38090	AT4G38090	no	no	no
at4g38550	AT4G38550	no	no	yes
at4g38580	FP6	no	no	yes
at4g38620	MYB4	no	no	no
at4g38690	AT4G38690	no	no	no
at4g38800	MTN1	no	no	yes
at4g38960	AT4G38960	no	no	no
at4g39030	EDS5	no	no	no
at4g39150	AT4G39150	no	no	yes
at4g39270	AT4G39270	no	yes	no
at4g39410	WRKY13	no	no	no
at4g39670	AT4G39670	no	no	no
at4g39890	RABH1c	no	no	no
at4g39940	AKN2	no	yes	no
at4g39950	CYP79B2	no	no	yes
at4g44070	at4g44070	no	no	no
at5g01210	AT5G01210	no	no	no
at5g01370	ACI1	no	no	no
at5g01410	RSR4	no	no	no
at5g01540	LECRKA4.1	no	yes	no
at5g01630	BRCA2B	no	no	yes
at5g01670	AT5G01670	no	no	no
at5g01750	AT5G01750	no	no	no
at5g01820	SR1	no	yes	yes
at5g01890	AT5G01890	no	yes	no
at5g01900	WRKY62	no	no	no
at5g01950	AT5G01950	no	no	yes
at5g02110	CYCD7;1	no	yes	no
at5g02220	AT5G02220	no	no	no
at5g03280	EIN2	no	no	yes
at5g03290	IDH-V	no	no	no
at5g03320	AT5G03320	no	yes	yes
at5g03545	AT4	no	no	no
at5g03660	AT5G03660	no	no	yes
at5g03700	AT5G03700	no	no	yes
at5g03730	CTR1	no	yes	yes
at5g03990	AT5G03990	no	no	no
at5g04160	AT5G04160	no	no	no
at5g04190	PKS4	no	no	yes
at5g04200	MC9	no	no	yes
at5g04280	AT5G04280	no	no	yes
at5g04340	ZAT6	no	no	no
at5g04510	PDK1	no	yes	yes
at5g04750	AT5G04750	no	no	no
at5g04870	CPK1	no	yes	yes
at5g04930	ALA1	no	no	yes
at5g05080	UBC22	no	no	no
at5g05140	AT5G05140	no	no	yes
at5g05170	CEV1	no	no	yes
at5g05270	AT5G05270	no	no	yes
at5g05440	PYL5	no	no	yes
at5g05510	AT5G05510	no	no	no
at5g05880	AT5G05880	no	no	no
at5g06000	EIF3G2	no	no	yes
at5g06060	AT5G06060	no	no	no
at5g06190	AT5G06190	no	no	no
at5g06530	AT5G06530	no	no	yes
at5g06570	AT5G06570	no	no	no
at5g06770	AT5G06770	no	no	no
at5g06870	PGIP2	no	no	yes
at5g06950	AHBP-1B	no	no	no
at5g06970	AT5G06970	no	no	yes
at5g07000	ST2B	no	no	yes
at5g07070	CIPK2	no	yes	yes
at5g07110	PRA1.B6	no	no	no
at5g07240	IQD24	no	no	no
at5g07830	GUS2	no	no	yes
at5g07990	TT7	no	no	no
at5g08640	FLS1	no	no	no
at5g08650	AT5G08650	no	no	yes
at5g09480	AT5G09480	no	no	no
at5g09790	ATXR5	no	no	no
at5g09810	ACT7	no	no	no
at5g09870	CESA5	no	no	yes
at5g10020	AT5G10020	no	yes	yes
at5g10030	TGA4	no	no	no
at5g10100	AT5G10100	no	no	no
at5g10190	AT5G10190	no	no	no
at5g10400	AT5G10400	no	no	no
at5g10430	AGP4	no	no	no
at5g10470	KAC1	no	no	yes
at5g10500	AT5G10500	no	no	no
at5g11160	APT5	no	no	no
at5g11260	HY5	no	no	yes
at5g11420	AT5G11420	no	no	no
at5g11510	MYB3R-4	no	no	yes
at5g11670	NADP-ME2	no	no	yes
at5g11740	AGP15	no	no	no
at5g11790	NDL2	no	no	no
at5g12200	PYD2	no	no	no
at5g12250	TUB6	no	no	yes
at5g12900	AT5G12900	no	no	no
at5g13160	PBS1	no	yes	yes
at5g13220	JAZ10	no	no	no
at5g13330	Rap2.6L	no	no	no
at5g13490	AAC2	no	no	no
at5g13630	GUN5	no	no	yes
at5g13790	AGL15	no	no	no
at5g13840	FZR3	no	no	no
at5g13930	TT4	no	no	yes
at5g14640	SK13	no	yes	no
at5g14700	AT5G14700	no	no	no
at5g14780	FDH	no	no	no
at5g14910	AT5G14910	no	no	yes
at5g15510	AT5G15510	no	no	no
at5g15600	SP1L4	no	no	no
at5g15650	RGP2	no	no	no
at5g16250	AT5G16250	no	no	yes
at5g16690	ORC3	no	no	yes
at5g16970	AER	no	no	no
at5g17190	AT5G17190	no	no	no
at5g17210	AT5G17210	no	no	yes
at5g17700	AT5G17700	no	no	no
at5g17990	TRP1	no	no	no
at5g18100	CSD3	no	no	yes
at5g18150	AT5G18150	no	no	no
at5g18280	APY2	no	no	yes
at5g18290	SIP1;2	no	no	no
at5g18310	AT5G18310	no	no	no
at5g18470	AT5G18470	no	no	no
at5g19280	KAPP	no	no	yes
at5g19290	AT5G19290	no	no	no
at5g19440	AT5G19440	no	no	no
at5g19550	ASP2	no	no	yes
at5g19660	S1P	no	no	no
at5g20030	AT5G20030	no	no	no
at5g20050	AT5G20050	no	yes	yes
at5g20090	AT5G20090	no	no	no
at5g20230	BCB	no	no	no
at5g20270	HHP1	no	no	no
at5g20400	AT5G20400	no	no	no
at5g20730	NPH4	no	no	no
at5g20740	AT5G20740	no	no	no
at5g20790	AT5G20790	no	no	no
at5g20850	RAD51	no	no	no
at5g20960	AO1	no	no	yes
at5g20990	B73	no	no	no
at5g22300	NIT4	no	no	no
at5g22310	AT5G22310	no	no	yes
at5g22570	WRKY38	no	no	no
at5g22690	AT5G22690	no	no	no
at5g22770	alpha-ADR	no	no	yes
at5g22880	HTB2	no	no	no
at5g23120	HCF136	no	no	no
at5g23820	AT5G23820	no	no	yes
at5g23850	AT5G23850	no	no	no
at5g23940	PEL3	no	no	no
at5g24150	SQP1	no	no	yes
at5g24270	SOS3	no	no	no
at5g24330	ATXR6	no	no	yes
at5g24360	IRE1-1	no	yes	yes
at5g24680	AT5G24680	no	no	no
at5g24780	VSP1	no	no	no
at5g24810	AT5G24810	no	no	no
at5g25170	AT5G25170	no	no	no
at5g25350	EBF2	no	no	no
at5g25440	AT5G25440	no	yes	no
at5g25490	AT5G25490	no	no	no
at5g25540	CID6	no	no	no
at5g25580	AT5G25580	no	no	no
at5g25610	RD22	no	no	no
at5g25770	AT5G25770	no	no	no
at5g25900	GA3	no	no	no
at5g25930	AT5G25930	no	yes	yes
at5g25940	AT5G25940	no	no	no
at5g25980	TGG2	no	no	no
at5g26340	MSS1	no	no	yes
at5g26870	at5g26870	no	no	no
at5g26990	AT5G26990	no	no	no
at5g27000	ATK4	no	no	yes
at5g27030	TPR3	no	no	yes
at5g27760	AT5G27760	no	no	no
at5g28540	BIP1	no	no	yes
at5g35330	MBD02	no	no	yes
at5g35410	SOS2	no	yes	yes
at5g35630	GS2	no	no	yes
at5g35840	PHYC	no	yes	no
at5g36120	CCB3	no	no	no
at5g37040	AT5G37040	no	no	no
at5g37550	AT5G37550	no	no	no
at5g37600	GSR 1	no	no	yes
at5g38210	AT5G38210	no	yes	no
at5g38410	AT5G38410	no	no	yes
at5g38900	AT5G38900	no	no	no
at5g39610	NAC6	no	no	no
at5g39950	TRX2	no	no	no
at5g40170	RLP54	no	yes	no
at5g40390	SIP1	no	no	yes
at5g40440	MKK3	no	yes	no
at5g40990	GLIP1	no	no	no
at5g41700	UBC8	no	no	no
at5g42020	BIP2	no	no	yes
at5g42050	AT5G42050	no	no	no
at5g42300	UBL5	no	no	yes
at5g42800	DFR	no	no	yes
at5g42940	AT5G42940	no	no	no
at5g43080	CYCA3;1	no	no	no
at5g44020	AT5G44020	no	no	no
at5g44070	CAD1	no	no	yes
at5g44260	AT5G44260	no	no	no
at5g44420	PDF1.2	no	no	no
at5g44560	VPS2.2	no	no	yes
at5g44790	RAN1	no	no	no
at5g45050	TTR1	no	no	no
at5g45095	AT5G45095	no	no	no
at5g45110	NPR3	no	no	no
at5g45250	RPS4	no	no	no
at5g45480	AT5G45480	no	no	no
at5g45500	AT5G45500	no	no	yes
at5g45670	AT5G45670	no	no	no
at5g45890	SAG12	no	no	no
at5g46050	PTR3	no	no	yes
at5g46240	KAT1	no	no	no
at5g46250	AT5G46250	no	no	no
at5g46330	FLS2	no	yes	yes
at5g46350	WRKY8	no	no	yes
at5g46690	bHLH071	no	no	no
at5g46740	UBP21	no	no	yes
at5g46780	AT5G46780	no	no	no
at5g46790	PYL1	no	no	no
at5g47070	AT5G47070	no	yes	yes
at5g47220	ERF2	no	no	no
at5g47230	ERF5	no	no	no
at5g47610	AT5G47610	no	no	no
at5g47750	D6PKL2	no	yes	yes
at5g47810	PFK2	no	yes	no
at5g48150	PAT1	no	no	no
at5g48380	BIR1	no	yes	no
at5g48540	AT5G48540	no	no	no
at5g48930	HCT	no	no	no
at5g49160	MET1	no	no	yes
at5g49280	AT5G49280	no	no	no
at5g49330	MYB111	no	no	no
at5g49520	WRKY48	no	no	no
at5g49650	XK-2	no	no	no
at5g50200	WR3	no	no	no
at5g50740	AT5G50740	no	no	no
at5g51300	AT5G51300	no	no	yes
at5g51600	PLE	no	no	no
at5g51660	CPSF160	no	no	yes
at5g51700	PBS2	no	no	yes
at5g51850	AT5G51850	no	no	no
at5g52240	MSBP1	no	no	yes
at5g52650	AT5G52650	no	no	no
at5g52750	AT5G52750	no	no	no
at5g52760	AT5G52760	no	no	no
at5g53130	CNGC1	no	no	no
at5g53210	SPCH	no	no	no
at5g53300	UBC10	no	no	no
at5g53890	PSKR2	no	no	yes
at5g54160	OMT1	no	no	yes
at5g54490	PBP1	no	no	no
at5g54640	RAT5	no	no	no
at5g54810	TSB1	no	no	no
at5g55180	AT5G55180	no	no	no
at5g55230	MAP65-1	no	no	yes
at5g55480	SVL1	no	no	no
at5g55620	AT5G55620	no	no	no
at5g55630	ATKCO1	no	no	yes
at5g55690	AT5G55690	no	no	no
at5g55910	D6PK	no	yes	no
at5g55990	CBL2	no	no	yes
at5g56100	AT5G56100	no	no	no
at5g56150	UBC30	no	no	no
at5g56220	AT5G56220	no	no	no
at5g56580	MKK6	no	yes	no
at5g56600	PRF3	no	no	no
at5g56630	PFK7	no	no	yes
at5g56860	GNC	no	no	no
at5g57180	CIA2	no	no	yes
at5g57220	CYP81F2	no	no	no
at5g57240	ORP4C	no	no	yes
at5g57560	TCH4	no	no	no
at5g57860	AT5G57860	no	no	yes
at5g57910	AT5G57910	no	no	no
at5g58140	PHOT2	no	yes	yes
at5g58575	AT5G58575	no	no	no
at5g58590	RANBP1	no	no	yes
at5g58630	AT5G58630	no	no	no
at5g59050	AT5G59050	no	no	no
at5g59140	AT5G59140	no	no	no
at5g59220	HAI1	no	no	yes
at5g59240	AT5G59240	no	no	no
at5g59380	MBD6	no	no	no
at5g59430	TRP1	no	no	yes
at5g59940	AT5G59940	no	no	no
at5g60360	ALP	no	no	no
at5g60540	PDX2	no	no	no
at5g60780	NRT2.3	no	no	no
at5g60880	BASL	no	no	no
at5g61010	EXO70E2	no	no	yes
at5g61160	AACT1	no	no	no
at5g61210	SNAP33	no	no	yes
at5g61520	AT5G61520	no	no	no
at5g61530	AT5G61530	no	no	yes
at5g61590	AT5G61590	no	no	no
at5g61850	LFY	no	no	no
at5g62130	AT5G62130	no	no	no
at5g62200	AT5G62200	no	no	no
at5g62490	HVA22B	no	no	no
at5g62500	EB1B	no	no	no
at5g62520	SRO5	no	no	no
at5g62630	HIPL2	no	no	no
at5g62710	AT5G62710	no	yes	no
at5g62920	ARR6	no	no	no
at5g63030	AT5G63030	no	no	yes
at5g63530	FP3	no	no	no
at5g63590	FLS3	no	no	no
at5g63600	FLS5	no	no	yes
at5g64330	NPH3	no	no	yes
at5g64740	CESA6	no	no	no
at5g65270	RABA4a	no	no	no
at5g65360	AT5G65360	no	no	no
at5g65530	AT5G65530	no	yes	yes
at5g65750	AT5G65750	no	no	no
at5g65800	ACS5	no	no	no
at5g65930	ZWI	no	no	yes
at5g66590	AT5G66590	no	no	yes
at5g66750	CHR1	no	no	yes
at5g66880	SNRK2.3	no	yes	yes
at5g67060	HEC1	no	no	no
at5g67070	RALFL34	no	no	no
at5g67110	ALC	no	no	no
at5g67140	AT5G67140	no	no	no
at5g67270	EB1C	no	no	no
at5g67280	RLK	no	yes	no
at5g67480	BT4	no	no	no
