ID	official_symbol	virtual	kinase_function	phosphorylation_site
at1g61590	AT1G61590	normal	yes	yes
at1g61610	AT1G61610	normal	yes	no
at1g61690	AT1G61690	normal	no	yes
at1g61870	PPR336	normal	no	yes
at1g61890	AT1G61890	normal	no	no
at1g62170	AT1G62170	normal	no	no
at1g62300	WRKY6	normal	no	yes
at1g62360	STM	normal	no	no
at1g62380	ACO2	normal	no	yes
at1g62390	AT1G62390	normal	no	yes
at1g62510	AT1G62510	normal	no	no
at1g62830	LDL1	normal	no	no
at1g62880	AT1G62880	normal	no	no
at1g62950	AT1G62950	normal	yes	no
at1g63000	NRS/ER	normal	no	no
at1g63050	AT1G63050	normal	no	no
at1g63100	AT1G63100	normal	no	no
at1g63110	AT1G63110	normal	no	no
at1g63120	RBL2	normal	no	no
at1g63430	AT1G63430	normal	yes	yes
at1g63650	EGL3	normal	no	no
at1g63700	YDA	normal	yes	yes
at1g63840	AT1G63840	normal	no	yes
at1g63910	AtMYB103	normal	no	no
at1g63930	ROH1	normal	no	yes
at1g63940	MDAR6	normal	no	yes
at1g64090	RTNLB3	normal	no	yes
at1g64150	AT1G64150	normal	no	no
at1g64180	AT1G64180	normal	no	no
at1g64230	UBC28	normal	no	no
at1g64280	NPR1	normal	no	yes
at1g64330	AT1G64330	normal	no	yes
at1g64370	AT1G64370	normal	no	no
at1g64520	RPN12a	normal	no	no
at1g64580	AT1G64580	normal	no	yes
at1g64620	AT1G64620	normal	no	yes
at1g64750	DSS1(I)	normal	no	yes
at1g64780	AMT1;2	normal	no	yes
at1g64810	APO1	normal	no	no
at1g64850	AT1G64850	normal	no	no
at1g64860	SIGA	normal	no	no
at1g64900	CYP89A2	normal	no	no
at1g64990	GTG1	normal	no	no
at1g65010	AT1G65010	normal	no	yes
at1g65290	mtACP2	normal	no	no
at1g65295	AT1G65295	normal	no	no
at1g65300	AGL38	normal	no	yes
at1g65370	AT1G65370	normal	no	no
at1g65480	FT	normal	no	no
at1g65650	UCH2	normal	no	no
at1g65690	AT1G65690	normal	no	no
at1g65820	AT1G65820	normal	no	no
at1g65985	AT1G65985	normal	no	no
at1g66090	AT1G66090	normal	no	yes
at1g66140	ZFP4	normal	no	no
at1g66160	CMPG1	normal	no	yes
at1g66230	MYB20	normal	no	no
at1g66240	ATX1	normal	no	no
at1g66250	AT1G66250	normal	no	no
at1g66340	ETR1	normal	yes	yes
at1g66350	RGL1	normal	no	no
at1g66370	MYB113	normal	no	no
at1g66380	MYB114	normal	no	no
at1g66390	MYB90	normal	no	no
at1g66410	CAM4	normal	no	yes
at1g66470	RHD6	normal	no	no
at1g66750	CAK4	normal	yes	yes
at1g66830	AT1G66830	normal	no	yes
at1g66910	AT1G66910	normal	yes	no
at1g67100	LBD40	normal	no	no
at1g67180	AT1G67180	normal	no	no
at1g67210	AT1G67210	normal	no	no
at1g67320	AT1G67320	normal	no	no
at1g67370	ASY1	normal	no	yes
at1g67470	AT1G67470	normal	yes	yes
at1g67510	AT1G67510	normal	yes	no
at1g67530	AT1G67530	normal	no	no
at1g67720	AT1G67720	normal	yes	no
at1g67800	AT1G67800	normal	no	yes
at1g68060	MAP70-1	normal	no	yes
at1g68090	ANN5	normal	no	no
at1g68140	AT1G68140	normal	no	no
at1g68170	AT1G68170	normal	no	no
at1g68220	AT1G68220	normal	no	no
at1g68380	AT1G68380	normal	no	no
at1g68400	AT1G68400	normal	yes	yes
at1g68580	AT1G68580	normal	no	no
at1g68620	AT1G68620	normal	no	no
at1g68840	RAV2	normal	no	yes
at1g69270	RPK1	normal	yes	no
at1g69295	PDCB4	normal	no	no
at1g69330	AT1G69330	normal	no	no
at1g69410	ELF5A-3	normal	no	yes
at1g69420	AT1G69420	normal	no	no
at1g69460	AT1G69460	normal	no	no
at1g69480	AT1G69480	normal	no	no
at1g69530	EXPA1	normal	no	no
at1g69600	ZFHD1	normal	no	no
at1g69640	SBH1	normal	no	no
at1g69670	CUL3B	normal	no	no
at1g69690	AT1G69690	normal	no	no
at1g69770	CMT3	normal	no	no
at1g69810	WRKY36	normal	no	yes
at1g69840	AT1G69840	normal	no	yes
at1g69850	NRT1:2	normal	no	no
at1g69870	NRT1.7	normal	no	yes
at1g69880	TH8	normal	no	no
at1g69910	AT1G69910	normal	yes	no
at1g69920	GSTU12	normal	no	no
at1g69930	GSTU11	normal	no	no
at1g69970	CLE26	normal	no	no
at1g70130	AT1G70130	normal	yes	yes
at1g70210	CYCD1;1	normal	no	no
at1g70280	AT1G70280	normal	no	yes
at1g70300	KUP6	normal	no	no
at1g70410	BCA4	normal	no	yes
at1g70510	KNAT2	normal	no	yes
at1g70520	CRK2	normal	yes	yes
at1g70530	CRK3	normal	yes	yes
at1g70610	TAP1	normal	no	no
at1g70700	TIFY7	normal	no	no
at1g70760	CRR23	normal	no	no
at1g70830	MLP28	normal	no	yes
at1g70840	MLP31	normal	no	no
at1g70910	AT1G70910	normal	no	no
at1g70940	PIN3	normal	no	yes
at1g71030	MYBL2	normal	no	no
at1g71050	AT1G71050	normal	no	no
at1g71110	AT1G71110	normal	no	no
at1g71140	AT1G71140	normal	no	no
at1g71190	SAG18	normal	no	no
at1g71230	CSN5B	normal	no	no
at1g71310	AT1G71310	normal	no	no
at1g71330	NAP5	normal	no	yes
at1g71380	CEL3	normal	no	no
at1g71400	RLP12	normal	no	no
at1g71450	AT1G71450	normal	no	no
at1g71480	AT1G71480	normal	no	no
at1g71697	CK1	normal	yes	yes
at1g71830	SERK1	normal	yes	yes
at1g71860	PTP1	normal	no	yes
at1g71880	SUC1	normal	no	yes
at1g71900	AT1G71900	normal	no	no
at1g71940	AT1G71940	normal	no	yes
at1g71970	AT1G71970	normal	no	yes
at1g72010	AT1G72010	normal	no	no
at1g72050	TFIIIA	normal	no	yes
at1g72150	PATL1	normal	no	yes
at1g72180	AT1G72180	normal	yes	no
at1g72260	THI2.1	normal	no	yes
at1g72300	AT1G72300	normal	yes	yes
at1g72310	ATL3	normal	no	no
at1g72460	AT1G72460	normal	yes	no
at1g72610	GER1	normal	no	no
at1g72770	HAB1	normal	no	no
at1g72830	NF-YA3	normal	no	no
at1g72900	AT1G72900	normal	no	yes
at1g72970	HTH	normal	no	no
at1g73080	PEPR1	normal	yes	yes
at1g73190	TIP3;1	normal	no	no
at1g73360	HDG11	normal	no	no
at1g73500	MKK9	normal	yes	no
at1g73590	PIN1	normal	no	yes
at1g73690	CDKD1;1	normal	yes	no
at1g73830	BEE3	normal	no	no
at1g74030	ENO1	normal	no	yes
at1g74160	AT1G74160	normal	no	yes
at1g74310	HSP101	normal	no	no
at1g74360	AT1G74360	normal	yes	no
at1g74370	AT1G74370	normal	no	no
at1g74380	XXT5	normal	no	no
at1g74470	AT1G74470	normal	no	no
at1g74490	AT1G74490	normal	yes	no
at1g74740	CPK30	normal	yes	yes
at1g74860	AT1G74860	normal	no	no
at1g74880	NDH-O	normal	no	no
at1g74890	ARR15	normal	no	no
at1g74950	TIFY10B	normal	no	no
at1g75020	LPAT4	normal	no	no
at1g75040	PR5	normal	no	no
at1g75080	BZR1	normal	no	yes
at1g75140	AT1G75140	normal	no	yes
at1g75240	HB33	normal	no	yes
at1g75280	AT1G75280	normal	no	no
at1g75390	bZIP44	normal	no	no
at1g75410	BLH3	normal	no	no
at1g75440	UBC16	normal	no	no
at1g75460	AT1G75460	normal	no	no
at1g75500	WAT1	normal	no	yes
at1g75710	AT1G75710	normal	no	no
at1g75750	GASA1	normal	no	no
at1g75780	TUB1	normal	no	no
at1g75810	AT1G75810	normal	no	no
at1g75820	CLV1	normal	yes	no
at1g75860	AT1G75860	normal	no	yes
at1g75950	SKP1	normal	no	yes
at1g76150	ECH2	normal	no	no
at1g76185	AT1G76185	normal	no	no
at1g76270	AT1G76270	normal	no	no
at1g76310	CYCB2;4	normal	no	yes
at1g76430	PHT1;9	normal	no	no
at1g76520	AT1G76520	normal	no	no
at1g76540	CDKB2;1	normal	yes	no
at1g76670	AT1G76670	normal	no	no
at1g76700	AT1G76700	normal	no	no
at1g76760	TY1	normal	no	no
at1g76790	AT1G76790	normal	no	no
at1g76850	SEC5A	normal	no	yes
at1g76880	AT1G76880	normal	no	yes
at1g77110	PIN6	normal	no	yes
at1g77145	AT1G77145	normal	no	yes
at1g77180	SKIP	normal	no	yes
at1g77350	AT1G77350	normal	no	no
at1g77370	AT1G77370	normal	no	no
at1g77380	AAP3	normal	no	no
at1g77390	CYCA1;2	normal	no	no
at1g77400	AT1G77400	normal	no	no
at1g77450	NAC032	normal	no	no
at1g77630	AT1G77630	normal	no	no
at1g77710	AT1G77710	normal	no	no
at1g77760	NIA1	normal	no	yes
at1g77870	MUB5	normal	no	no
at1g77920	AT1G77920	normal	no	no
at1g78020	AT1G78020	normal	no	yes
at1g78170	AT1G78170	normal	no	yes
at1g78290	AT1G78290	normal	yes	no
at1g78300	GRF2	normal	no	yes
at1g78310	AT1G78310	normal	no	no
at1g78380	GSTU19	normal	no	yes
at1g78410	AT1G78410	normal	no	no
at1g78430	RIP2	normal	no	yes
at1g78490	CYP708A3	normal	no	no
at1g78570	RHM1	normal	no	no
at1g78600	LZF1	normal	no	no
at1g78670	GGH3	normal	no	no
at1g78770	APC6	normal	no	no
at1g78970	LUP1	normal	no	no
at1g78995	AT1G78995	normal	no	yes
at1g79020	AT1G79020	normal	no	yes
at1g79340	MC4	normal	no	yes
at1g79420	AT1G79420	normal	no	no
at1g79430	APL	normal	no	no
at1g79470	AT1G79470	normal	no	no
at1g79510	AT1G79510	normal	no	no
at1g79630	AT1G79630	normal	no	no
at1g79670	RFO1	normal	yes	yes
at1g79680	WAKL10	normal	yes	no
at1g79690	NUDT3	normal	no	no
at1g79780	AT1G79780	normal	no	no
at1g79820	SGB1	normal	no	yes
at1g79830	GC5	normal	no	yes
at1g79840	GL2	normal	no	yes
at1g79860	ROPGEF12	normal	no	no
at1g79910	AT1G79910	normal	no	no
at1g80030	AT1G80030	normal	no	no
at1g80050	APT2	normal	no	no
at1g80080	TMM	normal	no	no
at1g80120	AT1G80120	normal	no	no
at1g80180	AT1G80180	normal	no	yes
at1g80270	PPR596	normal	no	yes
at1g80300	NTT1	normal	no	yes
at1g80370	CYCA2;4	normal	no	no
at1g80440	AT1G80440	normal	no	no
at1g80450	AT1G80450	normal	no	no
at1g80480	PTAC17	normal	no	no
at1g80650	RTL1	normal	no	no
at1g80670	AT1G80670	normal	no	no
at1g80830	NRAMP1	normal	no	no
at1g80840	WRKY40	normal	no	no
at1g80865	AT1G80865	normal	no	no
at1g80890	AT1G80890	normal	no	no
at2g01060	AT2G01060	normal	no	yes
at2g01175	AT2G01175	normal	no	no
at2g01180	PAP1	normal	no	yes
at2g01210	AT2G01210	normal	yes	yes
at2g01250	AT2G01250	normal	no	no
at2g01275	AT2G01275	normal	no	no
at2g01420	PIN4	normal	no	yes
at2g01430	HB17	normal	no	no
at2g01490	AT2G01490	normal	no	yes
at2g01540	AT2G01540	normal	no	no
at2g01570	RGA1	normal	no	yes
at2g01680	AT2G01680	normal	no	yes
at2g01730	CPSF73-II	normal	no	no
at2g01760	RR14	normal	no	no
at2g01770	VIT1	normal	no	no
at2g01820	AT2G01820	normal	no	yes
at2g01830	WOL	normal	yes	no
at2g01930	BPC1	normal	no	yes
at2g01950	BRL2	normal	yes	no
at2g01970	AT2G01970	normal	no	no
at2g02020	AT2G02020	normal	no	yes
at2g02040	PTR2	normal	no	no
at2g02080	IDD4	normal	no	yes
at2g02090	ETL1	normal	no	yes
at2g02100	LCR69	normal	no	no
at2g02220	PSKR1	normal	yes	yes
at2g02390	GSTZ1	normal	no	no
at2g02540	HB21	normal	no	no
at2g02560	CAND1	normal	no	no
at2g02800	APK2B	normal	yes	yes
at2g02820	MYB88	normal	no	no
at2g02950	PKS1	normal	no	yes
at2g02960	AT2G02960	normal	no	no
at2g03620	MGT3	normal	no	yes
at2g03760	SOT12	normal	no	no
at2g04030	CR88	normal	no	no
at2g04040	TX1	normal	no	no
at2g04050	AT2G04050	normal	no	no
at2g04080	AT2G04080	normal	no	no
at2g04240	XERICO	normal	no	no
at2g04280	AT2G04280	normal	no	no
at2g04350	LACS8	normal	no	no
at2g04360	AT2G04360	normal	no	no
at2g04400	AT2G04400	normal	no	no
at2g04480	AT2G04480	normal	no	no
at2g04620	AT2G04620	normal	no	no
at2g04630	NRPB6B	normal	no	no
at2g04660	APC2	normal	no	no
at2g04780	FLA7	normal	no	no
at2g04800	AT2G04800	normal	no	no
at2g04890	SCL21	normal	no	no
at2g04900	AT2G04900	normal	no	no
at2g05230	AT2G05230	normal	no	no
at2g05260	AT2G05260	normal	no	no
at2g05380	GRP3S	normal	no	no
at2g05520	GRP-3	normal	no	no
at2g05710	ACO3	normal	no	yes
at2g05830	AT2G05830	normal	no	yes
at2g05940	AT2G05940	normal	yes	yes
at2g06005	FIP1	normal	no	no
at2g06210	ELF8	normal	no	yes
at2g06510	RPA1A	normal	no	yes
at2g06990	HEN2	normal	no	yes
at2g07040	PRK2A	normal	yes	no
at2g07180	AT2G07180	normal	yes	yes
at2g07560	HA6	normal	no	yes
at2g07749	AT2G07749	normal	no	no
at2g07771	AT2G07771	normal	no	no
at2g10940	AT2G10940	normal	no	no
at2g12400	AT2G12400	normal	no	no
at2g13610	AT2G13610	normal	no	no
at2g13790	SERK4	normal	yes	yes
at2g14610	PR1	normal	no	no
at2g14750	APK	normal	yes	yes
at2g14850	AT2G14850	normal	no	no
at2g15050	LTP	normal	no	no
at2g15080	RLP19	normal	yes	no
at2g15310	ARFB1A	normal	no	yes
at2g15620	NIR1	normal	no	yes
at2g15910	AT2G15910	normal	no	no
at2g15970	COR413-PM1	normal	no	no
at2g16030	AT2G16030	normal	no	yes
at2g16250	AT2G16250	normal	yes	yes
at2g16530	AT2G16530	normal	no	no
at2g16595	AT2G16595	normal	no	no
at2g16720	MYB7	normal	no	no
at2g16740	UBC29	normal	no	no
at2g16850	PIP2;8	normal	no	yes
at2g16860	AT2G16860	normal	no	yes
at2g16900	AT2G16900	normal	no	yes
at2g17120	LYM2	normal	no	yes
at2g17200	DSK2	normal	no	no
at2g17250	EMB2762	normal	no	yes
at2g17290	CPK6	normal	yes	yes
at2g17350	AT2G17350	normal	no	no
at2g17520	IRE1A	normal	yes	no
at2g17560	HMGB4	normal	no	yes
at2g17620	CYCB2;1	normal	no	no
at2g17760	AT2G17760	normal	no	no
at2g17820	HK1	normal	yes	no
at2g17950	WUS	normal	no	no
at2g17972	AT2G17972	normal	no	yes
at2g17980	ATSLY1	normal	no	yes
at2g18020	EMB2296	normal	no	no
at2g18060	VND1	normal	no	no
at2g18170	MPK7	normal	yes	no
at2g18290	APC10	normal	no	no
at2g18350	HB24	normal	no	no
at2g18380	GATA20	normal	no	no
at2g18440	GUT15	normal	no	no
at2g18465	AT2G18465	normal	no	no
at2g18470	PERK4	normal	yes	yes
at2g18660	PNP-A	normal	no	no
at2g18690	AT2G18690	normal	no	no
at2g18730	DGK3	normal	yes	yes
at2g18780	AT2G18780	normal	no	no
at2g18790	PHYB	normal	yes	no
at2g18876	AT2G18876	normal	no	no
at2g18960	HA1	normal	no	yes
at2g19110	HMA4	normal	no	no
at2g19130	AT2G19130	normal	no	yes
at2g19190	FRK1	normal	yes	yes
at2g19580	TET2	normal	no	yes
at2g19650	AT2G19650	normal	no	yes
at2g19730	AT2G19730	normal	no	yes
at2g19780	AT2G19780	normal	no	no
at2g19830	SNF7.2	normal	no	no
at2g20000	HBT	normal	no	yes
at2g20110	AT2G20110	normal	no	yes
at2g20130	LCV1	normal	no	no
at2g20180	PIL5	normal	no	yes
at2g20270	AT2G20270	normal	no	no
at2g20300	ALE2	normal	yes	yes
at2g20570	GPRI1	normal	no	no
at2g20760	AT2G20760	normal	no	no
at2g20790	AT2G20790	normal	no	yes
at2g20870	AT2G20870	normal	no	no
at2g20890	PSB29	normal	no	no
at2g20900	DGK5	normal	yes	yes
at2g21160	AT2G21160	normal	no	no
at2g21237	AT2G21237	normal	no	no
at2g21240	BPC4	normal	no	yes
at2g21620	RD2	normal	no	yes
at2g21640	AT2G21640	normal	no	no
at2g21650	MEE3	normal	no	no
at2g22180	AT2G22180	normal	no	yes
at2g22240	MIPS2	normal	no	no
at2g22330	CYP79B3	normal	no	no
at2g22370	AT2G22370	normal	no	no
at2g22425	AT2G22425	normal	no	no
at2g22490	CYCD2;1	normal	no	no
at2g22500	UCP5	normal	no	no
at2g22510	AT2G22510	normal	no	no
at2g22670	IAA8	normal	no	no
at2g22810	ACS4	normal	no	no
at2g22840	GRF1	normal	no	yes
at2g22910	NAGS1	normal	no	no
at2g23070	AT2G23070	normal	no	yes
at2g23080	AT2G23080	normal	yes	yes
at2g23093	AT2G23093	normal	no	no
at2g23130	AGP17	normal	no	no
at2g23200	AT2G23200	normal	yes	yes
at2g23290	MYB70	normal	no	no
at2g23320	WRKY15	normal	no	yes
at2g23350	PAB4	normal	no	yes
at2g23380	CLF	normal	no	no
at2g23420	NAPRT2	normal	no	no
at2g23430	ICK1	normal	no	no
at2g23450	AT2G23450	normal	yes	no
at2g23680	AT2G23680	normal	no	no
at2g23760	BLH4	normal	no	no
at2g23770	AT2G23770	normal	yes	yes
at2g23790	AT2G23790	normal	no	no
at2g23910	AT2G23910	normal	no	yes
at2g23980	CNGC6	normal	no	no
at2g24020	AT2G24020	normal	no	no
at2g24040	AT2G24040	normal	no	no
at2g24120	SCA3	normal	no	no
at2g24180	CYP71B6	normal	no	no
at2g24220	PUP5	normal	no	no
at2g24230	AT2G24230	normal	yes	no
at2g24240	AT2G24240	normal	no	no
at2g24250	AT2G24250	normal	no	no
at2g24420	AT2G24420	normal	no	no
at2g24490	RPA2	normal	no	no
at2g24500	FZF	normal	no	yes
at2g24540	AFR	normal	no	no
at2g24630	ATCSLC08	normal	no	no
at2g24840	AGL61	normal	no	no
at2g24970	AT2G24970	normal	no	no
at2g25000	WRKY60	normal	no	no
at2g25090	CIPK16	normal	yes	no
at2g25140	CLPB4	normal	no	yes
at2g25280	AT2G25280	normal	no	no
at2g25310	AT2G25310	normal	no	no
at2g25490	EBF1	normal	no	no
at2g25600	SPIK	normal	no	no
at2g25700	SK3	normal	no	no
at2g25730	AT2G25730	normal	no	yes
at2g25790	AT2G25790	normal	yes	no
at2g25810	TIP4;1	normal	no	no
at2g25850	PAPS2	normal	no	no
at2g25880	AUR2	normal	yes	no
at2g25890	AT2G25890	normal	no	no
at2g25910	AT2G25910	normal	no	no
at2g26020	PDF1.2b	normal	no	no
at2g26070	RTE1	normal	no	no
at2g26180	IQD6	normal	no	no
at2g26190	AT2G26190	normal	no	no
at2g26230	AT2G26230	normal	no	no
at2g26300	GP ALPHA 1	normal	no	yes
at2g26330	ER	normal	yes	no
at2g26400	ARD3	normal	no	no
at2g26530	AR781	normal	no	no
at2g26560	PLA2A	normal	no	no
at2g26580	YAB5	normal	no	no
at2g26640	KCS11	normal	no	no
at2g26650	KT1	normal	no	no
at2g26695	AT2G26695	normal	no	no
at2g26710	BAS1	normal	no	no
at2g26740	SEH	normal	no	no
at2g26760	CYCB1;4	normal	no	yes
at2g26800	AT2G26800	normal	no	no
at2g26900	AT2G26900	normal	no	no
at2g26960	MYB81	normal	no	no
at2g27030	CAM5	normal	no	yes
at2g27050	EIL1	normal	no	no
at2g27060	AT2G27060	normal	no	yes
at2g27210	BSL3	normal	no	yes
at2g27220	BLH5	normal	no	no
at2g27230	LHW	normal	no	no
at2g27290	AT2G27290	normal	no	no
at2g27350	AT2G27350	normal	no	yes
at2g27770	AT2G27770	normal	no	no
at2g27960	CKS1	normal	yes	no
at2g27970	CKS2	normal	yes	no
at2g27990	BLH8	normal	no	no
at2g28060	AT2G28060	normal	no	no
at2g28160	FRU	normal	no	no
at2g28190	CSD2	normal	no	no
at2g28315	AT2G28315	normal	no	no
at2g28330	AT2G28330	normal	no	yes
at2g28380	DRB2	normal	no	no
at2g28470	BGAL8	normal	no	no
at2g28550	RAP2.7	normal	no	no
at2g28630	KCS12	normal	no	no
at2g28720	AT2G28720	normal	no	no
at2g28740	HIS4	normal	no	no
at2g28830	PUB12	normal	no	no
at2g28880	emb1997	normal	no	yes
at2g28960	AT2G28960	normal	yes	no
at2g28990	AT2G28990	normal	yes	no
at2g29020	AT2G29020	normal	no	no
at2g29090	CYP707A2	normal	no	no
at2g29100	GLR2.9	normal	no	no
at2g29180	AT2G29180	normal	no	no
at2g29250	AT2G29250	normal	yes	no
at2g29310	AT2G29310	normal	no	no
at2g29320	AT2G29320	normal	no	no
at2g29340	AT2G29340	normal	no	no
at2g29350	SAG13	normal	no	no
at2g29360	AT2G29360	normal	no	no
at2g29400	TOPP1	normal	no	no
at2g29410	MTPB1	normal	no	no
at2g29420	GSTU7	normal	no	no
at2g29490	GSTU1	normal	no	no
at2g29650	PHT4;1	normal	no	no
at2g29680	CDC6	normal	no	yes
at2g29980	FAD3	normal	no	no
at2g29990	NDA2	normal	no	no
at2g30020	AT2G30020	normal	no	no
at2g30060	AT2G30060	normal	no	no
at2g30070	KT1	normal	no	no
at2g30110	UBA1	normal	no	yes
at2g30120	AT2G30120	normal	no	no
at2g30130	ASL5	normal	no	no
at2g30160	AT2G30160	normal	no	no
at2g30250	WRKY25	normal	no	no
at2g30360	SIP4	normal	yes	no
at2g30400	OFP2	normal	no	no
at2g30420	ETC2	normal	no	no
at2g30470	HSI2	normal	no	no
at2g30490	C4H	normal	no	no
at2g30505	AT2G30505	normal	no	yes
at2g30520	RPT2	normal	no	yes
at2g30530	AT2G30530	normal	no	yes
at2g30540	AT2G30540	normal	no	no
at2g30570	PSBW	normal	no	no
at2g30580	DRIP2	normal	no	no
at2g30590	WRKY21	normal	no	no
at2g30620	AT2G30620	normal	no	yes
at2g30740	AT2G30740	normal	no	yes
at2g30750	CYP71A12	normal	no	no
at2g30770	CYP71A13	normal	no	no
at2g30870	GSTF10	normal	no	no
at2g30920	COQ3	normal	no	no
at2g30950	VAR2	normal	no	no
at2g30980	SKdZeta	normal	yes	no
at2g31070	TCP10	normal	no	yes
at2g31180	MYB14	normal	no	no
at2g31200	ADF6	normal	no	no
at2g31350	GLX2-5	normal	no	yes
at2g31360	DS2	normal	no	yes
at2g31380	STH	normal	no	no
at2g31570	GPX2	normal	no	no
at2g31880	SOBIR1	normal	yes	no
at2g31900	XIF	normal	no	no
at2g31920	AT2G31920	normal	no	yes
at2g31955	CNX2	normal	no	no
at2g31985	AT2G31985	normal	no	no
at2g32020	AT2G32020	normal	no	no
at2g32040	AT2G32040	normal	no	yes
at2g32380	AT2G32380	normal	no	no
at2g32400	GLR5	normal	no	no
at2g32520	AT2G32520	normal	no	yes
at2g32680	RLP23	normal	yes	no
at2g32710	KRP4	normal	no	yes
at2g32720	CB5-B	normal	no	no
at2g32730	AT2G32730	normal	no	yes
at2g32750	AT2G32750	normal	no	no
at2g32840	AT2G32840	normal	no	no
at2g32950	COP1	normal	no	no
at2g32980	AT2G32980	normal	no	yes
at2g33110	VAMP723	normal	no	no
at2g33120	SAR1	normal	no	no
at2g33220	AT2G33220	normal	no	no
at2g33250	AT2G33250	normal	no	no
at2g33270	ACHT3	normal	no	no
at2g33330	PDLP3	normal	no	no
at2g33460	RIC1	normal	no	no
at2g33560	BUBR1	normal	no	no
at2g33580	AT2G33580	normal	yes	no
at2g33630	AT2G33630	normal	no	no
at2g33670	MLO5	normal	no	no
at2g34090	MEE18	normal	no	no
at2g34150	WAVE1	normal	no	yes
at2g34180	CIPK13	normal	yes	no
at2g34210	AT2G34210	normal	no	yes
at2g34250	AT2G34250	normal	no	no
at2g34340	AT2G34340	normal	no	no
at2g34390	NIP2;1	normal	no	no
at2g34420	LHB1B2	normal	no	yes
at2g34450	AT2G34450	normal	no	no
at2g34510	AT2G34510	normal	no	no
at2g34610	AT2G34610	normal	no	no
at2g34650	PID	normal	yes	no
at2g34690	ACD11	normal	no	no
at2g34770	FAH1	normal	no	no
at2g35050	AT2G35050	normal	yes	yes
at2g35190	NPSN11	normal	no	no
at2g35470	AT2G35470	normal	no	yes
at2g35500	SKL2	normal	no	yes
at2g35520	DAD2	normal	no	no
at2g35530	bZIP16	normal	no	yes
at2g35620	FEI2	normal	yes	no
at2g35710	AT2G35710	normal	no	no
at2g35800	AT2G35800	normal	no	yes
at2g35860	FLA16	normal	no	no
at2g35910	AT2G35910	normal	no	no
at2g35930	PUB23	normal	no	no
at2g35940	BLH1	normal	no	no
at2g35980	YLS9	normal	no	yes
at2g36010	E2F3	normal	no	no
at2g36010/at5g02470	at2g36010/at5g02470	normal	no	no
at2g36020	HVA22J	normal	no	no
at2g36100	AT2G36100	normal	no	yes
at2g36130	AT2G36130	normal	no	no
at2g36220	AT2G36220	normal	no	yes
at2g36230	APG10	normal	no	no
at2g36270	ABI5	normal	no	no
at2g36305	FACE2	normal	no	no
at2g36330	AT2G36330	normal	no	yes
at2g36410	AT2G36410	normal	no	yes
at2g36420	AT2G36420	normal	no	no
at2g36430	AT2G36430	normal	no	no
at2g36530	LOS2	normal	no	yes
at2g36650	AT2G36650	normal	no	no
at2g36740	SWC2	normal	no	no
at2g36760	UGT73C2	normal	no	no
at2g36830	GAMMA-TIP	normal	no	no
at2g36960	TKI1	normal	no	no
at2g36990	SIGF	normal	no	no
at2g37040	PAL1	normal	no	no
at2g37050	AT2G37050	normal	yes	yes
at2g37080	RIP3	normal	no	yes
at2g37150	AT2G37150	normal	no	no
at2g37180	RD28	normal	no	yes
at2g37210	AT2G37210	normal	no	no
at2g37330	ALS3	normal	no	no
at2g37360	AT2G37360	normal	no	no
at2g37390	AT2G37390	normal	no	no
at2g37430	AT2G37430	normal	no	no
at2g37710	RLK	normal	yes	yes
at2g37940	AtIPCS2	normal	no	yes
at2g37970	SOUL-1	normal	no	yes
at2g38050	DET2	normal	no	no
at2g38080	IRX12	normal	no	no
at2g38110	GPAT6	normal	no	no
at2g38120	AUX1	normal	no	no
at2g38230	PDX1.1	normal	no	yes
at2g38270	CXIP2	normal	no	no
at2g38290	AMT2	normal	no	no
at2g38300	AT2G38300	normal	no	yes
at2g38310	PYL4	normal	no	yes
at2g38330	AT2G38330	normal	no	no
at2g38470	WRKY33	normal	no	yes
at2g38510	AT2G38510	normal	no	no
at2g38530	LTP2	normal	no	no
at2g38620	CDKB1;2	normal	yes	yes
at2g38730	AT2G38730	normal	no	no
at2g38750	ANNAT4	normal	no	yes
at2g38810	HTA8	normal	no	no
at2g38860	YLS5	normal	no	no
at2g38870	AT2G38870	normal	no	no
at2g39010	PIP2E	normal	no	yes
at2g39060	AT2G39060	normal	no	no
at2g39090	AT2G39090	normal	no	yes
at2g39100	AT2G39100	normal	no	no
at2g39180	CCR2	normal	yes	no
at2g39200	MLO12	normal	no	yes
at2g39210	AT2G39210	normal	no	no
at2g39220	PLP6	normal	no	yes
at2g39250	SNZ	normal	no	no
at2g39290	PGP1	normal	no	no
at2g39350	AT2G39350	normal	no	no
at2g39360	AT2G39360	normal	yes	yes
at2g39450	MTP11	normal	no	no
at2g39460	RPL23AA	normal	no	yes
at2g39480	PGP6	normal	no	yes
at2g39510	AT2G39510	normal	no	yes
at2g39530	AT2G39530	normal	no	no
at2g39660	BIK1	normal	yes	yes
at2g39700	EXPA4	normal	no	no
at2g39800	P5CS1	normal	no	yes
at2g39805	AT2G39805	normal	no	no
at2g39890	PROT1	normal	no	no
at2g39930	ISA1	normal	no	no
at2g39940	COI1	normal	no	no
at2g40000	HSPRO2	normal	no	yes
at2g40140	CZF1	normal	no	yes
at2g40180	PP2C5	normal	no	no
at2g40220	ABI4	normal	no	no
at2g40260	AT2G40260	normal	no	no
at2g40270	AT2G40270	normal	yes	yes
at2g40290	AT2G40290	normal	no	no
at2g40380	PRA1.B2	normal	no	no
